;Data;Date;
2023-05-11;539;2023-05-11;
2023-05-12;583;2023-05-12;
2023-05-13;590;2023-05-13;
2023-05-14;571;2023-05-14;
2023-05-15;572;2023-05-15;
2023-05-16;547;2023-05-16;
2023-05-17;549;2023-05-17;
2023-05-18;546;2023-05-18;
2023-05-19;550;2023-05-19;
2023-05-20;545;2023-05-20;
2023-05-21;616;2023-05-21;
2023-05-22;531;2023-05-22;
2023-05-23;600;2023-05-23;
2023-05-24;608;2023-05-24;
2023-05-25;556;2023-05-25;
2023-05-26;605;2023-05-26;
2023-05-27;652;2023-05-27;
2023-05-28;653;2023-05-28;
2023-05-29;502;2023-05-29;
2023-05-30;505;2023-05-30;
2023-05-31;502;2023-05-31;
2023-06-01;511;2023-06-01;
2023-06-02;473;2023-06-02;
2023-06-03;559;2023-06-03;
2023-06-04;568;2023-06-04;
2023-06-05;507;2023-06-05;
2023-06-06;501;2023-06-06;
2023-06-07;489;2023-06-07;
2023-06-08;535;2023-06-08;
2023-06-09;582;2023-06-09;
2023-06-10;559;2023-06-10;
2023-06-11;646;2023-06-11;
2023-06-12;543;2023-06-12;
2023-06-13;462;2023-06-13;
2023-06-14;540;2023-06-14;
2023-06-15;507;2023-06-15;
2023-06-16;483;2023-06-16;
2023-06-17;536;2023-06-17;
2023-06-18;568;2023-06-18;
2023-06-19;552;2023-06-19;
2023-06-20;439;2023-06-20;
2023-06-21;424;2023-06-21;
2023-06-22;456;2023-06-22;
2023-06-23;408;2023-06-23;
2023-06-24;469;2023-06-24;
2023-06-25;521;2023-06-25;
2023-06-26;526;2023-06-26;
2023-06-27;466;2023-06-27;
2023-06-28;465;2023-06-28;
2023-06-29;490;2023-06-29;
2023-06-30;488;2023-06-30;
2023-07-01;409;2023-07-01;
2023-07-02;457;2023-07-02;
2023-07-03;460;2023-07-03;
2023-07-04;565;2023-07-04;
2023-07-05;445;2023-07-05;
2023-07-06;434;2023-07-06;
2023-07-07;475;2023-07-07;
2023-07-08;472;2023-07-08;
2023-07-09;384;2023-07-09;
2023-07-10;458;2023-07-10;
2023-07-11;526;2023-07-11;
2023-07-12;529;2023-07-12;
2023-07-13;511;2023-07-13;
2023-07-14;484;2023-07-14;
2023-07-15;380;2023-07-15;
2023-07-16;402;2023-07-16;
2023-07-17;502;2023-07-17;
2023-07-18;483;2023-07-18;
2023-07-19;484;2023-07-19;
2023-07-20;505;2023-07-20;
2023-07-21;435;2023-07-21;
2023-07-22;463;2023-07-22;
2023-07-23;457;2023-07-23;
2023-07-24;425;2023-07-24;
2023-07-25;393;2023-07-25;
2023-07-26;434;2023-07-26;
2023-07-27;356;2023-07-27;
2023-07-28;375;2023-07-28;
2023-07-29;393;2023-07-29;
2023-07-30;380;2023-07-30;
2023-07-31;352;2023-07-31;
2023-08-01;387;2023-08-01;
2023-08-02;418;2023-08-02;
2023-08-03;338;2023-08-03;
2023-08-04;351;2023-08-04;
2023-08-05;423;2023-08-05;
2023-08-06;429;2023-08-06;
2023-08-07;381;2023-08-07;
2023-08-08;321;2023-08-08;
2023-08-09;363;2023-08-09;
2023-08-10;344;2023-08-10;
2023-08-11;310;2023-08-11;
2023-08-12;343;2023-08-12;
2023-08-13;356;2023-08-13;
2023-08-14;403;2023-08-14;
2023-08-15;310;2023-08-15;
2023-08-16;408;2023-08-16;
2023-08-17;357;2023-08-17;
2023-08-18;363;2023-08-18;
2023-08-19;399;2023-08-19;
2023-08-20;364;2023-08-20;
2023-08-21;309;2023-08-21;
2023-08-22;347;2023-08-22;
2023-08-23;345;2023-08-23;
2023-08-24;320;2023-08-24;
2023-08-25;358;2023-08-25;
2023-08-26;396;2023-08-26;
2023-08-27;387;2023-08-27;
2023-08-28;331;2023-08-28;
2023-08-29;321;2023-08-29;
2023-08-30;277;2023-08-30;
2023-08-31;358;2023-08-31;
2023-09-01;324;2023-09-01;
2023-09-02;347;2023-09-02;
2023-09-03;389;2023-09-03;
2023-09-04;354;2023-09-04;
2023-09-05;377;2023-09-05;
2023-09-06;302;2023-09-06;
2023-09-07;384;2023-09-07;
2023-09-08;390;2023-09-08;
2023-09-09;344;2023-09-09;
2023-09-10;381;2023-09-10;
2023-09-11;342;2023-09-11;
2023-09-12;348;2023-09-12;
2023-09-13;303;2023-09-13;
2023-09-14;275;2023-09-14;
2023-09-15;290;2023-09-15;
2023-09-16;338;2023-09-16;
2023-09-17;341;2023-09-17;
2023-09-18;340;2023-09-18;
2023-09-19;333;2023-09-19;
2023-09-20;345;2023-09-20;
2023-09-21;331;2023-09-21;
2023-09-22;271;2023-09-22;
2023-09-23;325;2023-09-23;
2023-09-24;271;2023-09-24;
2023-09-25;300;2023-09-25;
2023-09-26;239;2023-09-26;
2023-09-27;169;2023-09-27;
2023-09-28;113;2023-09-28;
2023-09-29;32;2023-09-29;
